...1,umpd_case_number,occured_date_time_location,report_date_time,type,disposition,location,date,time,year,time_hour
4,2014-00000238,01/03/14 04:10,01/03/14 04:35,Accident - Departmental,CBE,University  Bl,2014-01-03,04:10,2014,04
5,2014-00000243,01/03/14 05:00,01/03/14 06:00,Damage to State Property,CBE,Knight Hall at 417  Union  Dr,2014-01-03,05:00,2014,05
8,2014-00000275,01/03/14 15:07,01/03/14 15:07,Warrant/Summons Service,Arrest,Adelphi  Rd,2014-01-03,15:07,2014,15
9,2014-00000296,01/03/14 17:56,01/03/14 17:56,Warrant/Summons Service,Arrest,Adelphi  Rd,2014-01-03,17:56,2014,17
10,2014-00000349,01/03/14 22:38,01/03/14 22:38,DWI/DUI,Arrest,University  Bl,2014-01-03,22:38,2014,22
11,2014-00000400,01/04/14 02:59,01/04/14 02:59,DWI/DUI,Arrest,"Looney's Pub, The Varsity at 8150  Baltimore  Ave",2014-01-04,02:59,2014,02
12,2014-00000491,01/04/14 13:59,01/04/14 13:59,CDS Violation,Arrest,Adelphi  Rd,2014-01-04,13:59,2014,13
13,2014-00000492,01/04/14 14:30,01/04/14 14:30,Injured/Sick Person,CBE,360 block of  Azalea  La,2014-01-04,14:30,2014,14
14,2014-00000503,01/04/14 11:30,01/04/14 15:26,Damage to State Property,CBE,"La Plata Hall, laplata hall at 259  Farm  Dr",2014-01-04,11:30,2014,11
15,2014-00000509,01/04/14 16:15,01/04/14 16:18,Assist Other Agency,CBE,Lot 2g,2014-01-04,16:15,2014,16
16,2014-00000510,01/04/14 16:30,01/04/14 16:33,DWI/DUI,Arrest,University  Bl,2014-01-04,16:30,2014,16
17,2014-00000518,01/04/14 14:00,01/04/14 17:58,Lost Property,CBE,"DOTS, Lot 5, PG2, Regents Drive Parking Garage, WAM Lab at 202  Regents  Dr",2014-01-04,14:00,2014,14
18,2014-00000560,01/04/14 19:30,01/05/14 00:15,Damage to State Property,CBE,Martin Hall at 88  Campus  Dr,2014-01-04,19:30,2014,19
19,2014-00000588,01/05/14 06:12,01/05/14 06:12,CDS Violation,Arrest,Hartwick  Rd,2014-01-05,06:12,2014,06
20,2014-00000710,01/05/14 21:42,01/05/14 21:42,CDS Violation,Arrest,University  Bl,2014-01-05,21:42,2014,21
21,2014-00000754,01/03/14 07:00,01/06/14 09:10,Other Incident,CBE,"Frat 3, Tau Kappa Epsilon Fraternity at 3  Fraternity  Row",2014-01-03,07:00,2014,07
22,2014-00000766,01/05/14 16:00,01/06/14 09:59,Vandalism,Suspended,Commons 7 at 6801  Preinkert  Dr,2014-01-05,16:00,2014,16
24,2014-00000786,01/03/14 08:00,01/06/14 12:46,Vandalism,Suspended,Marie Mount Hall at 46  Chapel  Dr,2014-01-03,08:00,2014,08
25,2014-00000800,01/06/14 14:22,01/06/14 14:22,CDS Violation,Arrest,Baltimore  Ave,2014-01-06,14:22,2014,14
