,umpd_case_number,occured_date_time_location,report_date_time,_type,disposition,location
0,2014-00000021,12/31/13 21:30,01/01/14 04:22,Other Incident,CBE,Commons 3 at 4318  Knox  Rd
1,2014-00000046,12/31/13,01/01/14 11:49,Vandalism,Suspended,Commons 2 at 4250  Knox  Rd
2,2014-00000115,12/31/13 04:00,01/02/14 03:17,Burglary,Suspended,Skinner Building at 44  Chapel  Dr
3,2014-00000171,11/24/13 17:00,01/02/14 16:29,Theft,Unfounded,68  Farm  Dr
4,2014-00000238,01/03/14 04:10,01/03/14 04:35,Accident - Departmental,CBE,University  Bl
5,2014-00000243,01/03/14 05:00,01/03/14 06:00,Damage to State Property,CBE,Knight Hall at 417  Union  Dr
6,2014-00000258,12/23/13 22:00,01/03/14 10:31,Theft,Suspended,380 block of  Stadium  Dr
7,2014-00000269,10/01/13 12:00,01/03/14 12:46,Theft,Suspended,24  Lehigh  Rd
8,2014-00000275,01/03/14 15:07,01/03/14 15:07,Warrant/Summons Service,Arrest,Adelphi  Rd
9,2014-00000296,01/03/14 17:56,01/03/14 17:56,Warrant/Summons Service,Arrest,Adelphi  Rd
10,2014-00000349,01/03/14 22:38,01/03/14 22:38,DWI/DUI,Arrest,University  Bl
11,2014-00000400,01/04/14 02:59,01/04/14 02:59,DWI/DUI,Arrest,"Looney's Pub, The Varsity at 8150  Baltimore  Ave"
12,2014-00000491,01/04/14 13:59,01/04/14 13:59,CDS Violation,Arrest,Adelphi  Rd
13,2014-00000492,01/04/14 14:30,01/04/14 14:30,Injured/Sick Person,CBE,360 block of  Azalea  La
14,2014-00000503,01/04/14 11:30,01/04/14 15:26,Damage to State Property,CBE,"La Plata Hall, laplata hall at 259  Farm  Dr"
15,2014-00000509,01/04/14 16:15,01/04/14 16:18,Assist Other Agency,CBE,Lot 2g
16,2014-00000510,01/04/14 16:30,01/04/14 16:33,DWI/DUI,Arrest,University  Bl
17,2014-00000518,01/04/14 14:00,01/04/14 17:58,Lost Property,CBE,"DOTS, Lot 5, PG2, Regents Drive Parking Garage, WAM Lab at 202  Regents  Dr"
18,2014-00000560,01/04/14 19:30,01/05/14 00:15,Damage to State Property,CBE,Martin Hall at 88  Campus  Dr
19,2014-00000588,01/05/14 06:12,01/05/14 06:12,CDS Violation,Arrest,Hartwick  Rd
20,2014-00000710,01/05/14 21:42,01/05/14 21:42,CDS Violation,Arrest,University  Bl
21,2014-00000754,01/03/14 07:00,01/06/14 09:10,Other Incident,CBE,"Frat 3, Tau Kappa Epsilon Fraternity at 3  Fraternity  Row"
22,2014-00000766,01/05/14 16:00,01/06/14 09:59,Vandalism,Suspended,Commons 7 at 6801  Preinkert  Dr
23,2014-00000780,10/18/13,01/06/14 11:18,Other Incident,Active/Pending,Service Building at 3  Rossborough  La
24,2014-00000786,01/03/14 08:00,01/06/14 12:46,Vandalism,Suspended,Marie Mount Hall at 46  Chapel  Dr
25,2014-00000800,01/06/14 14:22,01/06/14 14:22,CDS Violation,Arrest,Baltimore  Ave
26,2014-00000802,01/04/14 10:00,01/06/14 14:23,Stolen Motor Vehicle,Unfounded,3400 block of  Tulane  Dr
27,2014-00000809,01/01/13,01/06/14 16:30,Dept Property Damage/Loss,CBE,"Litton, Police Services & Training Facility at 7101  51st  Ave"
28,2014-00000987,01/07/14 23:30,01/07/14 23:30,CDS Violation,Arrest,Archery Range at 2930  University  Bl
29,2014-00001010,01/01/13 12:00,01/08/14 06:12,Dept Property Damage/Loss,CBE,Service Building at 3  Rossborough  La
30,2014-00001017,01/08/14 08:35,01/08/14 08:35,Traffic Arrest,Arrest,Metzerott  Rd
31,2014-00001019,01/08/14 09:11,01/08/14 09:11,Found/Recovered Property,CBE,Main Administration Building at 77  Regents  Dr
32,2014-00001025,01/08/14 10:15,01/08/14 10:37,Damage to State Property,CBE,Shoemaker Building at 37  Chapel  Dr
33,2014-00001027,01/08/14 11:20,01/08/14 11:21,Damage to State Property,CBE,Golf Course Club House at 166  Stadium  Dr
34,2014-00001029,01/06/14 17:00,01/08/14 12:06,Injured/Sick Person,CBE,Service Building at 3  Rossborough  La
35,2014-00001057,01/08/14 18:08,01/08/14 18:08,Injured/Sick Person,CBE,UMUC Hotel at 348  Ehrensberger  Dr
36,2014-00001059,01/08/14 19:10,01/08/14 19:10,Injured/Sick Person,CBE,Calvert Hall at 15  Lehigh  Rd
37,2014-00001134,01/09/14 11:12,01/09/14 11:12,Assist Other Agency,CBE,8100 block of  Baltimore  Ave
38,2014-00001141,01/09/14 13:30,01/09/14 13:33,Recovered Stolen Motor Vehicle,Arrest,"College Park Shopping Center, CVS at 7300  Baltimore  Ave"
39,2014-00001142,01/09/14 13:56,01/09/14 13:58,Damage to State Property,CBE,Tyser Tower at 361  Field House  Dr
40,2014-00001159,01/09/14 17:45,01/09/14 17:51,Damage to State Property,CBE,"HHP, PERH, Public Health, School of Public Health Building at 255  Valley  Dr"
41,2014-00001204,01/10/14 00:56,01/10/14 00:56,DWI/DUI,Arrest,Adelphi  Rd
42,2014-00001209,01/10/14 01:20,01/10/14 01:20,CDS Violation,Arrest,Baltimore  Ave
43,2014-00001237,01/10/14 11:12,01/10/14 11:12,Injured/Sick Person,CBE,"Clarice Smith Performing Arts Center, CSPAC at 386  Stadium  Dr"
44,2014-00001250,12/20/13 17:00,01/10/14 17:38,Stolen Motor Vehicle,Suspended,Lot 1b
45,2014-00001299,01/11/14 01:06,01/11/14 01:06,DWI/DUI,Arrest,Baltimore  Ave
